Id,Name,Difficulty,Similar Problems,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Comments
98,Validate Binary Search Tree,★★,530,,,,,inorder
700,Search in a Binary Search Tree,★★,701,,,,,binary search
230,Kth Smallest Element in a BST,★★★,,,,,,inorder
99,Recover Binary Search Tree,★★★,,,,,,inorder
108,Convert Sorted Array to Binary Search Tree,★★★,,,,,,build BST
501,Find Mode in Binary Search Tree,★★★,,,,,,inorder
450,Delete Node in a BST,★★★★,,,,,,binary search
(Done) 1231, Divide Chocolate,★★★,(DONE) 410,(DONE) 875,(DONE) 1011,(DONE) 1283,(DONE) 1482,
,,,(DONE) 774,410,,,,
,,,,,,,,
,,,,,,,,
Id,Name,Difficulty,Similar Problems,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,
11,Container With Most Water,★★,42,,,,,two points
125,Valid Palindrome,★★,455,,,,,two points
917,Reverse Only Letters,★★,925,986,855,,,two points
167,Two Sum II - Input array is sorted,★★★,15,16,,,,two points
977,Squares of a Sorted Array,★★,,,,,,two points
992,Subarrays with K Different Integers,★★★★,,,,,,two points
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Leetcode Algorithm II,7 days ,,,,,,
DAY1,Binary Search,,,,,,,
34,Find First and Last Position of Element in Sorted Array,,,,,,,
33,33. Search in Rotated Sorted Array,redo!,,,,,,
74,74. Search a 2D Matrix,,,,,,,
DAY2,Binary Search,,,,,,,
153, Find Minimum in Rotated Sorted Array,★★,,,,,,
162,Find Peak Element,★★,,,,,,
,,,,,,,,
,,,,,,,,
,Leetcode Algorithm III,7 days ,,,,,,
DAY1,Binary Search,,,,,,,
1060,Missing Element in Sorted Array,★★★,,,,,,
1901,Find a Peak Element II,★★★,redo!,,,,,
DAY2,Binary Search,,,,,,,
1231, Divide Chocolate,★★★,,,,,,
1182,Shortest Distance to Target Color,★★★,redo!,,,,,
DAY3,Two points,,,,,,,
1229, Meeting Scheduler,★★,two points,,,,,
287, Find the Duplicate Number,★★,binary search,,,,,
