Id,Name,Difficulty,Similar Problems,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Comments
35,Search Insert Position,★★,34,704,981,,,,,upper_bound
33,Search in Rotated Sorted Array,★★★,81,153,154,162,852,,,rotated / peak
69,Sqrt(x),★★★,,,,,,,,upper_bound
74,Search a 2D Matrix,★★★,,,,,,,,treat 2d as 1d
875,Koko Eating Bananas,★★★,1011,,,,,,,guess ans and check
4,Median of Two Sorted Arrays,★★★★,,,,,,,,
378,Kth Smallest Element in a Sorted Matrix,★★★★,668,,,,,,,kth + matrix
719,Find K-th Smallest Pair Distance,★★★★,786,,,,,,,kth + two pointers
,,,,,,,,,,
658,Find K Closest Elements,★★★,,,,,,,,two pointers
,,,,,,,,,,
DAY1,Algorithm II,,,,,,,,,
34,Find First and Last Position of Element in Sorted Array,★,,,,,,,,
33,Search in Rotated Sorted Array,★,,,,,,,,
74,Search a 2D Matrix,★,,,,,,,,
DAY2,Algorithm II,,,,,,,,,
153,Find Minimum in Rotated Sorted Array,★★,,,,,,,,
162,Find Peak Element,★★,,,,,,,,
DAY1,Algorithm III,,,,,,,,,
1060,Missing Element in Sorted Array,★★,,,,,,,,
1901,Find a Peak Element II,★★,,,,,,,,
