Done,Id,Name,Difficulty,Similar Problems,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,,Comments
started,70,Climbing Stairs,★,746 (done),1137,,,,,"I: O(n), S = O(n), T = O(n)"
,303,Range Sum Query - Immutable,★,1218,,,,,,
,53,Maximum Subarray,★★,121,,,,,,
started,62(done),Unique Paths,★★,63 (done),64,120,174,931,,"I: O(mn), S = O(mn), T = O(mn)"
,,,,1210,,,,,,
,85,Maximal Rectangle,★★★,221,304,1277,,,,
,198,House Robber,★★★,213,309,740,790,801,,"I: O(n), S = O(3n), T = O(3n)"
,279,Perfect Squares,★★★,,,,,,,"I: n, S = O(n), T = O(n*sqrt(n))"
,139 (DONE),Word Break,★★★,140,818,,,,,"I: O(n), S = O(n), T = O(n^2)"
,300,Longest Increasing Subsequence,★★★,(DONE) 673, (DONE) 1048,,,,,
,96,Unique Binary Search Trees,★★★,,,,,,,
,1105,Filling Bookcase Shelves,★★★,,,,,,,"I: O(n) + t, S = O(n), T = O(n^2)"
,131,Palindrome Partitioning,★★★,89,,,,,,"I: O(n), S = O(2^n), T = O(2^n)"
,72,Edit Distance,★★★,10,44,97,115,583,,"I: O(m+n), S = O(mn), T = O(mn)"
,,,,712,1187,1143,1092,718,,
,1139,Largest 1-Bordered Square,★★★,,,,,,,"I: O(mn), S = O(mn)
T = O(mn*min(n,m))"
,688,Knight Probability in Chessboard,★★★,576(done),935,,,,,"I: O(mn) + k
S = O(kmn), T = O(kmn)"
started,322(done),Coin Change (knapsack),★★★,377(done),416 (knapsack),494,1043,1049(DONE),,"I: O(n) + k, S = O(n), T = O(kn)"
,,,,1220,1230,1262,1269,518(DONE),,
,813,Largest Sum of Averages,★★★★,1278,1335,410,,,,"I: O(n) + k
S = O(n*k), T = O(kn^2)"
,1223,Dice Roll Simulation,★★★★,,,,,,,"I: O(n) + k + p
S = O(k*p), T = O(n^2kp)"
DONE,312,Burst Balloons,★★★★,664,1024,1591,1039,1140,1130,"I: O(n), S = O(n^2), T = O(n^3)"
DONE,741,Cherry Pickup,★★★★,147,1463,64,,,,"I: O(n^2), S = O(n^3), T = O(n^3)"
DONE,546,Remove Boxes,★★★★★,312,488,,,,,"I: O(n), S = O(n^3), T = O(n^4)"
DONE,943,Find the Shortest Superstring,★★★★★,62_63_980_unique_paths,996,1125 (knapsack),,,,"I: O(n)
S = O(n*2^n), T = (n^2*2^n)"
DONE,329,Longest Increasing Path in a Matrix,,,,,,,,
,238,Product of Array Except Self,,361,343,,,,,
,39,Combination Sum,★★★★★,,,,,,,Backtracking (DFS) or Knapsack
,,,,,,,,,,
,,,,,,,,,,
,Leetcode DP,7 days ,,,,,,,,
DAY1,509,Fibonacci Number,★,,,,,,,
DAY1,1137,N-th Tribonacci Number,★,,,,,,,
DAY2,70,Climbing Stairs,★,,,,,,,
DAY2,746,Min Cost Climbing Stairs,★,,,,,,,
DAY3,198,House Robber,★,,,,,,,
DAY3,213,House Robber II,★,,,,,,,
DAY3,740, Delete and Earn,★★,same as house robber!,,,,,,
DAY4,55,Jump Game,★★,,,,,,,
DAY4,45,Jump Game II,★★,,,,,,,
DAY5,53,Maximum Subarray,★★,,,,,,,
DAY5,918,Maximum Sum Circular Subarray,★★,,,,,,,
DAY6,152,Maximum Product Subarray,★★★,,,,,,,
DAY6,1567,Maximum Length of Subarray With Positive Product,★★★,,,,,,,
DAY7,1014,Best Sightseeing Pair,★★,,,,,,,
