Id,Name,Difficulty,Similar Problems,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Comments
133,Clone Graph,★★,138.0,,,,,queue + hashtable
200,Number of Islands,★★,547.0,695.0,733.0,827.0,1162.0,grid + connected components
841,Keys and Rooms,★★,1202.0,,,,,"DFS, connected components"
207,Course Schedule,★★★,210.0,802.0,,,,topology sorting
399,Evaluate Division,★★★,839.0,952.0,990.0,721.0,737.0,union find
785,Is Graph Bipartite?,★★★,886.0,1042.0,,,,"bipartition, graph coloring"
997,Find the Town Judge,★★★,,,,,,in/out degrees
433,Minimum Genetic Mutation,★★★,815.0,863.0,1129.0,1263.0,,unweighted shortest path / BFS
684,Redundant Connection,★★★★,685.0,1319.0,,,,"cycle, union find"
743,Network Delay Time,★★★★,787.0,882.0,924.0,1334.0,,weighted shortest path
847,Shortest Path Visiting All Nodes,★★★★,864.0,1298.0,,,,BFS
332,Reconstruct Itinerary,★★★★,,,,,,Eulerian path
1192,Critical Connections in a Network,★★★★,,,,,,Tarjan
943,Find the Shortest Superstring,★★★★★,980.0,996.0,,,,Hamiltonian path (DFS / DP)
959,Regions Cut By Slashes,★★★★★,,,,,,union find / grid + CCs
