Id,Name,Difficulty,Similar Problems,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Comments
94.0,Binary Tree Inorder Traversal,★,144.0,145.0,429.0,589.0,590.0,traversal
,,,987.0,1302.0,,,,
100.0,Same Tree,★★,101.0,104.0,110.0,111.0,572.0,
,,,965.0,,,,,
102.0,Binary Tree Level Order Traversal,★★,107.0,429.0,872.0,,,collecting nodes
814.0,Binary Tree Pruning,★★★,669.0,1325.0,,,,
112.0,Path Sum,★★★,113.0,437.0,,,,
129.0,Sum Root to Leaf Numbers,★★★,257.0,,,,,
236.0,Lowest Common Ancestor of a Binary Tree,★★★,235.0,,,,,
297.0,Serialize and Deserialize Binary Tree,★★★,449.0,,,,,
508.0,Most Frequent Subtree Sum,★★★,,,,,,
124.0,Binary Tree Maximum Path Sum,★★★,543.0,687.0,,,,"Use both children, return one"
968.0,Binary Tree Cameras,★★★★,337.0,979.0,,,,
