Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Liberty global plc class c,LBTYK,"",53971307.0,1459384000.0,11.6208,11.0954,1,-584100.0,-1.070655,reduction,14.5303363,Q3 2018,COMMUNICATIONS,13F,06/30/2021,23.22,29.32
Intel corp.,INTC,"",21744950.0,1220761000.0,9.72066,11.8774,2,-1560384.0,-6.695394,reduction,0.5385079,Q4 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,52.94,53.49
Ebay inc.,EBAY,"",14890623.0,1045471000.0,8.32486,8.9362,3,-3433800.0,-18.738926,reduction,2.1857422,Q4 2018,CONSUMER DISCRETIONARY,13F,06/30/2021,31.61,74.02
Qorvo inc,QRVO,"",5334466.0,1043688000.0,8.31066,7.6009,4,110000.0,2.105478,addition,4.7380913,Q1 2017,INFORMATION TECHNOLOGY,13F,06/30/2021,115.1254,188.36
Viasat inc.,VSAT,"",16288959.0,811842000.0,6.46452,6.2352,5,0.0,0.0,,22.4583338,Q2 2008,INFORMATION TECHNOLOGY,13F,06/30/2021,37.48,54.83
Alphabet inc. class c,GOOG,"",290930.0,729164000.0,5.80618,4.7924,6,0.0,0.0,,0.0899098,Q1 2020,COMMUNICATIONS,13F,06/30/2021,1820.86,2768.12
Micron technology  inc.,MU,"",7163416.0,608747000.0,4.84732,3.8096,7,1740000.0,32.0831,addition,0.6387834,Q3 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,57.3535,70.92
Facebook inc,FB,"",1547000.0,537907000.0,4.28324,3.042,8,250000.0,19.275251,addition,0.0645647,Q1 2020,COMMUNICATIONS,13F,06/30/2021,251.7052,363.18
Translate bio inc,TBIO,"",18044239.0,525989566.85,4.18834,4.004,9,0.0,0.0,,23.9845380,,HEALTH CARE,13D,08/02/2021,,37.74
Willis towers watson plc,WLTW,"",1891526.0,435089000.0,3.46452,4.5565,10,-608474.0,-24.33896,reduction,1.4665635,Q1 2021,FINANCE,13F,06/30/2021,228.88,219.24
International flavors and fragrances  inc.,IFF,"",2100000.0,313740000.0,2.49824,2.3346,11,0.0,0.0,,0.8436450,Q1 2021,MATERIALS,13F,06/30/2021,139.61,156.75
Pg&e corp. (pacific gas & electric),PCG,"",30657601.0,311788000.0,2.4827,2.8588,12,0.0,0.0,,1.5443813,Q1 2018,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,13.36,9.12
Nexstar media group inc,NXST,"",2046000.0,302562000.0,2.40924,2.3316,13,-39000.0,-1.870504,reduction,4.7866021,Q4 2018,COMMUNICATIONS,13F,06/30/2021,89.61,145.72
Liberty sirius xm group  series c,LSXMK,"",6484867.0,300833000.0,2.39547,2.2778,14,0.0,0.0,,2.8513859,Q1 2020,COMMUNICATIONS,13F,06/30/2021,34.09,47.7
Ss&c technologies holdings inc,SSNC,"",3316892.0,239015000.0,1.90323,2.1181,15,-490000.0,-12.871392,reduction,1.2968129,Q2 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,62.49,77.2
Pershing square tontine holdings  ltd.,PSTH,"",10090655.0,229663000.0,1.82876,2.4297,16,-2617269.0,-20.595567,reduction,5.0453275,Q3 2020,FINANCE,13F,06/30/2021,22.69,20.3
Veritiv corp,VRTV,"",3564439.0,218928000.0,1.74328,1.2075,17,0.0,0.0,,22.7547414,Q3 2014,MATERIALS,13F,06/30/2021,43.6,83.91
Shaw communications inc class b,SJR,"",7530807.0,218125000.0,1.73688,,18,7530807.0,,new,1.5808838,Q2 2021,COMMUNICATIONS,13F,06/30/2021,28.92,29.16
Liberty global plc class a,LBTYA,"",7657205.0,207970000.0,1.65602,1.5646,19,0.0,0.0,,4.2455770,Q3 2018,COMMUNICATIONS,13F,06/30/2021,28.18,29.26
Outbrain inc,OB,"",10232000.0,200751840.0,1.59854,,20,10232000.0,"",new,N/A,, ,13G,07/31/2021,,19.75
Digitalbridge group inc,DBRG,"",22877059.0,180729000.0,1.43911,1.2494,21,-1335900.0,-5.517293,reduction,4.7031328,Q3 2016,REAL ESTATE,13F,06/30/2021,12.47,7.02
Liberty sirius xm group  series a,LSXMA,"",3500000.0,163030000.0,1.29817,1.2286,22,0.0,0.0,,3.5592149,Q1 2020,COMMUNICATIONS,13F,06/30/2021,34.82,47.66
Theravance biopharma inc,TBPH,"",9910168.0,143896000.0,1.14581,1.4197,23,1175000.0,13.451373,addition,N/A,Q2 2014,HEALTH CARE,13F,06/30/2021,28.4643,13.52
Verint systems inc,VRNT,"",3039798.0,137004000.0,1.09093,1.1011,24,0.0,0.0,,4.6766817,Q2 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,24.13,42.7
Atara biotherapeutics inc,ATRA,"",8477488.0,131825000.0,1.04969,0.9694,25,0.0,0.0,,10.0830364,Q4 2014,HEALTH CARE,13F,06/30/2021,27.73,12.45
