Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Jpmorgan ultra-short income etf,JPST,"",399571.0,20274000.0,6.4449,10.1022,1,6760.0,1.720929,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,50.7597,50.715
Apple inc,AAPL,"",147740.0,20234000.0,6.4321,4.739,2,71630.0,94.113783,addition,0.0008853,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,129.3305,149.1
Vanguard total stock market etf,VTI,"",68357.0,15231000.0,4.8418,6.0733,3,11227.0,19.651672,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,209.3392,230.15
Procter & gamble co. (oh) (1905),PG,"",53522.0,7222000.0,2.2958,0.8191,4,41604.0,349.085417,addition,0.0021861,Q1 2021,CONSUMER STAPLES,13F,06/30/2021,135.0413,143.64
Facebook inc,FB,"",19139.0,6655000.0,2.1155,0.9317,5,13066.0,215.14902,addition,0.0007988,Q1 2021,COMMUNICATIONS,13F,06/30/2021,330.8354,363.18
Microsoft corp.,MSFT,"",23955.0,6490000.0,2.0631,2.3183,6,4829.0,25.248353,addition,0.0003181,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,242.8517,292.85
Amazon.com inc.,AMZN,"",1694.0,5828000.0,1.8527,1.1381,7,982.0,137.921348,addition,0.0003359,Q1 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,3294.7002,3293.97
Walt disney co. (the),DIS,"",31789.0,5588000.0,1.7764,0.8064,8,22847.0,255.502125,addition,0.0017496,Q1 2021,COMMUNICATIONS,13F,06/30/2021,178.2313,181.08
Colgate-palmolive co.,CL,"",68306.0,5557000.0,1.7665,0.3165,9,60695.0,797.464197,addition,N/A,Q1 2021,CONSUMER STAPLES,13F,06/30/2021,81.0692,79.44
Alphabet inc. class a,GOOGL,"",2147.0,5243000.0,1.6667,2.3335,10,56.0,2.678144,addition,0.0007139,Q1 2021,COMMUNICATIONS,13F,06/30/2021,2072.4125,2754.55
Jpmorgan chase & co. (chemical bank),JPM,"",33446.0,5202000.0,1.6537,2.512,11,1987.0,6.316158,addition,0.0011049,Q1 2021,FINANCE,13F,06/30/2021,152.4266,159.98
Jpmorgan ultra-short municipal income etf,JMST,"",100455.0,5128000.0,1.6301,1.7609,12,32409.0,47.628075,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,51.0432,51.07
Johnson & johnson co.,JNJ,"",28707.0,4729000.0,1.5033,2.1894,13,3044.0,11.861435,addition,0.0010901,Q1 2021,HEALTH CARE,13F,06/30/2021,164.3914,176.25
