Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Novo-nordisk a/s ads,NVO,"",24181071.0,2025648000.0,2.5287,2.084,1,-665600.0,-2.67883,reduction,1.3641861,Q3 2005,HEALTH CARE,13F,06/30/2021,34.73,102.76
Verisign inc.,VRSN,"",4841290.0,1102313000.0,1.3761,1.2038,2,-27024.0,-0.5551,reduction,N/A,Q3 2009,COMMUNICATIONS,13F,06/30/2021,92.06,209.44
Zoom video communications inc,ZM,"",2662863.0,1030608000.0,1.2866,1.0076,3,142000.0,5.632992,addition,1.1246044,Q1 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,227.1462,355.24
Nvidia corp.,NVDA,"",4643172.0,928750000.0,1.1594,0.3071,4,2794000.0,151.094652,addition,0.1863231,Q1 2013,INFORMATION TECHNOLOGY,13F,06/30/2021,328.3332,201.88
Amazon.com inc.,AMZN,"",260655.0,896695000.0,1.1194,0.061,5,244800.0,1543.992431,addition,0.0516841,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2021,3428.6727,3293.97
Target corp.,TGT,"",3600559.0,870399000.0,1.0866,0.8837,6,14500.0,0.404344,addition,N/A,Q1 2019,CONSUMER DISCRETIONARY,13F,06/30/2021,102.2341,261.54
Atlassian corp plc,TEAM,"",3293360.0,845932000.0,1.056,0.8761,7,-48060.0,-1.438311,reduction,2.4918916,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2021,102.17,337.94
Moderna inc,MRNA,"",3188454.0,749223000.0,0.9353,0.2664,8,1552925.0,94.949402,addition,0.7940805,Q2 2020,HEALTH CARE,13F,06/30/2021,168.0344,389.78
Kroger co.,KR,"",17731571.0,679296000.0,0.848,0.769,9,557500.0,3.246173,addition,N/A,Q2 2018,CONSUMER STAPLES,13F,06/30/2021,31.3557,42.81
Monster beverage corp.,MNST,"",7177560.0,655670000.0,0.8185,0.9017,10,-779200.0,-9.792931,reduction,1.3579404,Q1 2009,CONSUMER STAPLES,13F,06/30/2021,56.12,98.12
